class_name,image_name
n01532829,n01532829_20457.JPEG
n01532829,n01532829_16058.JPEG
n01532829,n01532829_1097.JPEG
n01532829,n01532829_13809.JPEG
n01532829,n01532829_14005.JPEG
n01532829,n01532829_2615.JPEG
n01532829,n01532829_8371.JPEG
n01532829,n01532829_47.JPEG
n01532829,n01532829_4796.JPEG
n01532829,n01532829_5531.JPEG
n01532829,n01532829_4455.JPEG
n01532829,n01532829_298.JPEG
n01532829,n01532829_12187.JPEG
n01532829,n01532829_22650.JPEG
n01532829,n01532829_1591.JPEG
n01532829,n01532829_5177.JPEG
n01532829,n01532829_5489.JPEG
n01532829,n01532829_136.JPEG
n01532829,n01532829_23313.JPEG
n01532829,n01532829_3672.JPEG
n01532829,n01532829_1364.JPEG
n01532829,n01532829_4893.JPEG
n01532829,n01532829_34741.JPEG
n01532829,n01532829_3268.JPEG
n01532829,n01532829_1778.JPEG
n01532829,n01532829_2439.JPEG
n01532829,n01532829_12734.JPEG
n01532829,n01532829_835.JPEG
n01532829,n01532829_243.JPEG
n01532829,n01532829_5294.JPEG
n01532829,n01532829_12334.JPEG
n01532829,n01532829_10006.JPEG
n01532829,n01532829_2769.JPEG
n01532829,n01532829_7607.JPEG
n01532829,n01532829_26427.JPEG
n01532829,n01532829_25329.JPEG
n01532829,n01532829_17969.JPEG
n01532829,n01532829_11167.JPEG
n01532829,n01532829_2472.JPEG
n01532829,n01532829_19864.JPEG
n01532829,n01532829_998.JPEG
n01532829,n01532829_19872.JPEG
n01532829,n01532829_259.JPEG
n01532829,n01532829_5950.JPEG
n01532829,n01532829_34865.JPEG
n01532829,n01532829_35962.JPEG
n01532829,n01532829_13890.JPEG
n01532829,n01532829_4096.JPEG
n01532829,n01532829_37571.JPEG
n01532829,n01532829_5556.JPEG
n01532829,n01532829_13524.JPEG
n01532829,n01532829_947.JPEG
n01532829,n01532829_24266.JPEG
n01532829,n01532829_2023.JPEG
n01532829,n01532829_4723.JPEG
n01532829,n01532829_1966.JPEG
n01532829,n01532829_5059.JPEG
n01532829,n01532829_1305.JPEG
n01532829,n01532829_559.JPEG
n01532829,n01532829_2145.JPEG
n01532829,n01532829_1286.JPEG
n01532829,n01532829_20591.JPEG
n01532829,n01532829_10400.JPEG
n01532829,n01532829_4786.JPEG
n01532829,n01532829_6888.JPEG
n01532829,n01532829_34864.JPEG
n01532829,n01532829_13687.JPEG
n01532829,n01532829_9212.JPEG
n01532829,n01532829_2029.JPEG
n01532829,n01532829_189.JPEG
n01532829,n01532829_23825.JPEG
n01532829,n01532829_261.JPEG
n01532829,n01532829_22299.JPEG
n01532829,n01532829_19417.JPEG
n01532829,n01532829_1858.JPEG
n01532829,n01532829_5096.JPEG
n01532829,n01532829_441.JPEG
n01532829,n01532829_33799.JPEG
n01532829,n01532829_5403.JPEG
n01532829,n01532829_900.JPEG
n01532829,n01532829_37319.JPEG
n01532829,n01532829_3217.JPEG
n01532829,n01532829_5300.JPEG
n01532829,n01532829_20599.JPEG
n01532829,n01532829_5641.JPEG
n01532829,n01532829_21929.JPEG
n01532829,n01532829_17905.JPEG
n01532829,n01532829_3808.JPEG
n01532829,n01532829_1623.JPEG
n01532829,n01532829_13813.JPEG
n01532829,n01532829_8439.JPEG
n01532829,n01532829_2341.JPEG
n01532829,n01532829_9441.JPEG
n01532829,n01532829_122.JPEG
n01532829,n01532829_2800.JPEG
n01532829,n01532829_21608.JPEG
n01532829,n01532829_499.JPEG
n01532829,n01532829_3597.JPEG
n01532829,n01532829_2248.JPEG
n01532829,n01532829_762.JPEG
n01532829,n01532829_3531.JPEG
n01532829,n01532829_2847.JPEG
n01532829,n01532829_3408.JPEG
n01532829,n01532829_1329.JPEG
n01532829,n01532829_21740.JPEG
n01532829,n01532829_3145.JPEG
n01532829,n01532829_5914.JPEG
n01532829,n01532829_17108.JPEG
n01532829,n01532829_5647.JPEG
n01532829,n01532829_13551.JPEG
n01532829,n01532829_2703.JPEG
n01532829,n01532829_21692.JPEG
n01532829,n01532829_856.JPEG
n01532829,n01532829_26721.JPEG
n01532829,n01532829_8622.JPEG
n01532829,n01532829_3815.JPEG
n01532829,n01532829_30090.JPEG
n01532829,n01532829_26212.JPEG
n01532829,n01532829_1114.JPEG
n01532829,n01532829_966.JPEG
n01532829,n01532829_3914.JPEG
n01532829,n01532829_8809.JPEG
n01532829,n01532829_7606.JPEG
n01532829,n01532829_31207.JPEG
n01532829,n01532829_251.JPEG
n01532829,n01532829_10032.JPEG
n01532829,n01532829_2024.JPEG
n01532829,n01532829_271.JPEG
n01532829,n01532829_1030.JPEG
n01532829,n01532829_418.JPEG
n01532829,n01532829_38225.JPEG
n01532829,n01532829_5915.JPEG
n01532829,n01532829_2352.JPEG
n01532829,n01532829_2935.JPEG
n01532829,n01532829_3607.JPEG
n01532829,n01532829_14723.JPEG
n01532829,n01532829_481.JPEG
n01532829,n01532829_254.JPEG
n01532829,n01532829_1537.JPEG
n01532829,n01532829_38534.JPEG
n01532829,n01532829_1311.JPEG
n01532829,n01532829_5983.JPEG
n01532829,n01532829_33517.JPEG
n01532829,n01532829_2722.JPEG
n01532829,n01532829_30445.JPEG
n01532829,n01532829_15860.JPEG
n01532829,n01532829_958.JPEG
n01532829,n01532829_2440.JPEG
n01532829,n01532829_34883.JPEG
n01532829,n01532829_4722.JPEG
n01532829,n01532829_2174.JPEG
n01532829,n01532829_3736.JPEG
n01532829,n01532829_319.JPEG
n01532829,n01532829_2349.JPEG
n01532829,n01532829_2792.JPEG
n01532829,n01532829_1106.JPEG
n01532829,n01532829_1503.JPEG
n01532829,n01532829_5919.JPEG
n01532829,n01532829_2453.JPEG
n01532829,n01532829_17979.JPEG
n01532829,n01532829_29328.JPEG
n01532829,n01532829_5841.JPEG
n01532829,n01532829_13864.JPEG
n01532829,n01532829_12865.JPEG
n01532829,n01532829_5911.JPEG
n01532829,n01532829_16397.JPEG
n01532829,n01532829_14820.JPEG
n01532829,n01532829_27525.JPEG
n01532829,n01532829_242.JPEG
n01532829,n01532829_38601.JPEG
n01532829,n01532829_1990.JPEG
n01532829,n01532829_11626.JPEG
n01532829,n01532829_37697.JPEG
n01532829,n01532829_741.JPEG
n01532829,n01532829_4850.JPEG
n01532829,n01532829_15469.JPEG
n01532829,n01532829_36564.JPEG
n01532829,n01532829_5708.JPEG
n01532829,n01532829_2492.JPEG
